id,title,user_uuid,content,image_url,is_public,created_at,updated_at
1,홈트레이닝 30일 도전 시작!,123e4567-e89b-12d3-a456-426614170004,"홈트레이닝 30일 도전을 시작했습니다. 집에서도 충분히 좋은 운동이 가능하다는 걸 보여드릴게요!",https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=800&h=600&fit=crop,true,2025-06-04T10:00:00.000Z,2025-06-04T10:00:00.000Z
2,오늘의 홈트 완료!,123e4567-e89b-12d3-a456-426614170011,"오늘 집에서 홈트로 땀을 쫙 뺐어요. 내일도 화이팅!","https://plus.unsplash.com/premium_photo-1671028547976-4b1e3300a350?q=80&w=3870&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",true,2025-06-04T11:00:00.000Z,2025-06-04T11:00:00.000Z
3,집에서 하는 전신운동,123e4567-e89b-12d3-a456-426614170018,"간단한 동작으로도 충분히 운동 효과를 볼 수 있네요.","https://images.unsplash.com/photo-1734873477108-6837b02f2b9d?q=80&w=3468&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",true,2025-06-04T12:00:00.000Z,2025-06-04T12:00:00.000Z
4,홈트로 체력 기르기,123e4567-e89b-12d3-a456-426614170025,"홈트로 체력이 점점 좋아지는 게 느껴집니다.","https://plus.unsplash.com/premium_photo-1664300607508-f8fce5d434b4?q=80&w=3870&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",true,2025-06-04T13:00:00.000Z,2025-06-04T13:00:00.000Z
5,홈트 인증샷 공유,123e4567-e89b-12d3-a456-426614170032,"매일 꾸준히 홈트하는 습관을 들이고 있어요.","https://plus.unsplash.com/premium_photo-1664476325264-f1dab37eaa7a?q=80&w=3871&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D",true,2025-06-04T14:00:00.000Z,2025-06-04T14:00:00.000Z
6,처음 헬스장 등록했습니다 !,123e4567-e89b-12d3-a456-426614170000,"새로 생긴 헬스장이라 그런지 깔꼼하네요 한 번 열심히 해보겠습니다. 🔥",https://images.unsplash.com/photo-1540497077202-7c8a3999166f?w=800&h=600&fit=crop,true,2025-06-04T15:00:00.000Z,2025-06-04T15:00:00.000Z
7,웨이트 트레이닝 루틴 추천받아요,123e4567-e89b-12d3-a456-426614170014,"오늘은 하체 위주로 웨이트를 했습니다. 다들 어떤식으로 운동 루틴을 짜시나요?",https://images.unsplash.com/photo-1574680096145-d05b474e2155?w=800&h=600&fit=crop,true,2025-06-04T16:00:00.000Z,2025-06-04T16:00:00.000Z
8,랫풀다운 해보는데 운동자세 이거 맞아요?,123e4567-e89b-12d3-a456-426614170028,"헬스 고수분들 도와주세요 ㅠㅠ",https://images.unsplash.com/photo-1571731956672-f2b94d7dd0cb?w=800&h=600&fit=crop,true,2025-06-04T17:00:00.000Z,2025-06-04T17:00:00.000Z
9,ㅇㅇㅇ,123e4567-e89b-12d3-a456-426614170042,"그립 새로 샀는데 참 좋네요. 역시 운동은 장비빨!",https://images.unsplash.com/photo-1549060279-7e168fcee0c2?w=800&h=600&fit=crop,true,2025-06-04T18:00:00.000Z,2025-06-04T18:00:00.000Z
10,오운완,123e4567-e89b-12d3-a456-426614170056,"매일 턱걸이 하고 있는데 오늘따라 잘 안되네요.. 그래도 오늘 운동 인증했습니다.",https://images.unsplash.com/photo-1605296867424-35fc25c9212a?w=800&h=600&fit=crop,true,2025-06-04T19:00:00.000Z,2025-06-04T19:00:00.000Z
